url,markdown_file,combined,manifest_state,coverage,output_path
http://www.annavinpadaippugal.info/Kurunavalgal/idhayam_irumbanal_4.htm,Kurunavalgal/idhayam_irumbanal.md,yes,success,covered,/Users/pugazhendhirajendran/Documents/Codex/2026-07-09/https-www-annavinpadaippugal-info/outputs/annavin_text_extractor/organized_contents/Kurunavalgal/idhayam_irumbanal.md
http://www.annavinpadaippugal.info/Kurunavalgal/idhayam_pongiya_1.htm,Kurunavalgal/idhayam_pongiya.md,yes,success,covered,/Users/pugazhendhirajendran/Documents/Codex/2026-07-09/https-www-annavinpadaippugal-info/outputs/annavin_text_extractor/organized_contents/Kurunavalgal/idhayam_pongiya.md
http://www.annavinpadaippugal.info/Kurunavalgal/idhayam_pongiya_2.htm,Kurunavalgal/idhayam_pongiya.md,yes,success,covered,/Users/pugazhendhirajendran/Documents/Codex/2026-07-09/https-www-annavinpadaippugal-info/outputs/annavin_text_extractor/organized_contents/Kurunavalgal/idhayam_pongiya.md
http://www.annavinpadaippugal.info/Kurunavalgal/idhayam_pongiya_3.htm,Kurunavalgal/idhayam_pongiya.md,yes,success,covered,/Users/pugazhendhirajendran/Documents/Codex/2026-07-09/https-www-annavinpadaippugal-info/outputs/annavin_text_extractor/organized_contents/Kurunavalgal/idhayam_pongiya.md
http://www.annavinpadaippugal.info/Kurunavalgal/idhayam_pongiya_4.htm,Kurunavalgal/idhayam_pongiya.md,yes,success,covered,/Users/pugazhendhirajendran/Documents/Codex/2026-07-09/https-www-annavinpadaippugal-info/outputs/annavin_text_extractor/organized_contents/Kurunavalgal/idhayam_pongiya.md
http://www.annavinpadaippugal.info/Kurunavalgal/idhayam_pongiya_5.htm,Kurunavalgal/idhayam_pongiya.md,yes,success,covered,/Users/pugazhendhirajendran/Documents/Codex/2026-07-09/https-www-annavinpadaippugal-info/outputs/annavin_text_extractor/organized_contents/Kurunavalgal/idhayam_pongiya.md
http://www.annavinpadaippugal.info/Kurunavalgal/idhayam_pongiya_6.htm,Kurunavalgal/idhayam_pongiya.md,yes,success,covered,/Users/pugazhendhirajendran/Documents/Codex/2026-07-09/https-www-annavinpadaippugal-info/outputs/annavin_text_extractor/organized_contents/Kurunavalgal/idhayam_pongiya.md
http://www.annavinpadaippugal.info/Kurunavalgal/idhayam_pongiya_7.htm,Kurunavalgal/idhayam_pongiya.md,yes,success,covered,/Users/pugazhendhirajendran/Documents/Codex/2026-07-09/https-www-annavinpadaippugal-info/outputs/annavin_text_extractor/organized_contents/Kurunavalgal/idhayam_pongiya.md
http://www.annavinpadaippugal.info/Kurunavalgal/idhayam_pongiya_8.htm,Kurunavalgal/idhayam_pongiya.md,yes,success,covered,/Users/pugazhendhirajendran/Documents/Codex/2026-07-09/https-www-annavinpadaippugal-info/outputs/annavin_text_extractor/organized_contents/Kurunavalgal/idhayam_pongiya.md
http://www.annavinpadaippugal.info/Kurunavalgal/irumbu_mul_veli_1.htm,Kurunavalgal/irumbu_mul_veli.md,yes,success,covered,/Users/pugazhendhirajendran/Documents/Codex/2026-07-09/https-www-annavinpadaippugal-info/outputs/annavin_text_extractor/organized_contents/Kurunavalgal/irumbu_mul_veli.md
http://www.annavinpadaippugal.info/Kurunavalgal/irumbu_mul_veli_2.htm,Kurunavalgal/irumbu_mul_veli.md,yes,success,covered,/Users/pugazhendhirajendran/Documents/Codex/2026-07-09/https-www-annavinpadaippugal-info/outputs/annavin_text_extractor/organized_contents/Kurunavalgal/irumbu_mul_veli.md
http://www.annavinpadaippugal.info/Kurunavalgal/irumbu_mul_veli_3.htm,Kurunavalgal/irumbu_mul_veli.md,yes,success,covered,/Users/pugazhendhirajendran/Documents/Codex/2026-07-09/https-www-annavinpadaippugal-info/outputs/annavin_text_extractor/organized_contents/Kurunavalgal/irumbu_mul_veli.md
http://www.annavinpadaippugal.info/Kurunavalgal/irumbu_mul_veli_4.htm,Kurunavalgal/irumbu_mul_veli.md,yes,success,covered,/Users/pugazhendhirajendran/Documents/Codex/2026-07-09/https-www-annavinpadaippugal-info/outputs/annavin_text_extractor/organized_contents/Kurunavalgal/irumbu_mul_veli.md
http://www.annavinpadaippugal.info/Kurunavalgal/kabothipurakkathal_1.htm,Kurunavalgal/kabothipurakkathal.md,yes,success,covered,/Users/pugazhendhirajendran/Documents/Codex/2026-07-09/https-www-annavinpadaippugal-info/outputs/annavin_text_extractor/organized_contents/Kurunavalgal/kabothipurakkathal.md
http://www.annavinpadaippugal.info/Kurunavalgal/kabothipurakkathal_2.htm,Kurunavalgal/kabothipurakkathal.md,yes,success,covered,/Users/pugazhendhirajendran/Documents/Codex/2026-07-09/https-www-annavinpadaippugal-info/outputs/annavin_text_extractor/organized_contents/Kurunavalgal/kabothipurakkathal.md
http://www.annavinpadaippugal.info/Kurunavalgal/kabothipurakkathal_3.htm,Kurunavalgal/kabothipurakkathal.md,yes,success,covered,/Users/pugazhendhirajendran/Documents/Codex/2026-07-09/https-www-annavinpadaippugal-info/outputs/annavin_text_extractor/organized_contents/Kurunavalgal/kabothipurakkathal.md
http://www.annavinpadaippugal.info/Kurunavalgal/kabothipurakkathal_4.htm,Kurunavalgal/kabothipurakkathal.md,yes,success,covered,/Users/pugazhendhirajendran/Documents/Codex/2026-07-09/https-www-annavinpadaippugal-info/outputs/annavin_text_extractor/organized_contents/Kurunavalgal/kabothipurakkathal.md
http://www.annavinpadaippugal.info/Kurunavalgal/kabothipurakkathal_5.htm,Kurunavalgal/kabothipurakkathal.md,yes,success,covered,/Users/pugazhendhirajendran/Documents/Codex/2026-07-09/https-www-annavinpadaippugal-info/outputs/annavin_text_extractor/organized_contents/Kurunavalgal/kabothipurakkathal.md
http://www.annavinpadaippugal.info/Kurunavalgal/kabothipurakkathal_6.htm,Kurunavalgal/kabothipurakkathal.md,yes,success,covered,/Users/pugazhendhirajendran/Documents/Codex/2026-07-09/https-www-annavinpadaippugal-info/outputs/annavin_text_extractor/organized_contents/Kurunavalgal/kabothipurakkathal.md
http://www.annavinpadaippugal.info/Kurunavalgal/kadaisikkalavu_1.htm,Kurunavalgal/kadaisikkalavu.md,yes,success,covered,/Users/pugazhendhirajendran/Documents/Codex/2026-07-09/https-www-annavinpadaippugal-info/outputs/annavin_text_extractor/organized_contents/Kurunavalgal/kadaisikkalavu.md
http://www.annavinpadaippugal.info/Kurunavalgal/kadaisikkalavu_2.htm,Kurunavalgal/kadaisikkalavu.md,yes,success,covered,/Users/pugazhendhirajendran/Documents/Codex/2026-07-09/https-www-annavinpadaippugal-info/outputs/annavin_text_extractor/organized_contents/Kurunavalgal/kadaisikkalavu.md
http://www.annavinpadaippugal.info/Kurunavalgal/kadaisikkalavu_3.htm,Kurunavalgal/kadaisikkalavu.md,yes,success,covered,/Users/pugazhendhirajendran/Documents/Codex/2026-07-09/https-www-annavinpadaippugal-info/outputs/annavin_text_extractor/organized_contents/Kurunavalgal/kadaisikkalavu.md
http://www.annavinpadaippugal.info/Kurunavalgal/kadaisikkalavu_4.htm,Kurunavalgal/kadaisikkalavu.md,yes,success,covered,/Users/pugazhendhirajendran/Documents/Codex/2026-07-09/https-www-annavinpadaippugal-info/outputs/annavin_text_extractor/organized_contents/Kurunavalgal/kadaisikkalavu.md
http://www.annavinpadaippugal.info/Kurunavalgal/kadaisikkalavu_5.htm,Kurunavalgal/kadaisikkalavu.md,yes,success,covered,/Users/pugazhendhirajendran/Documents/Codex/2026-07-09/https-www-annavinpadaippugal-info/outputs/annavin_text_extractor/organized_contents/Kurunavalgal/kadaisikkalavu.md
http://www.annavinpadaippugal.info/Kurunavalgal/kadaisikkalavu_6.htm,Kurunavalgal/kadaisikkalavu.md,yes,success,covered,/Users/pugazhendhirajendran/Documents/Codex/2026-07-09/https-www-annavinpadaippugal-info/outputs/annavin_text_extractor/organized_contents/Kurunavalgal/kadaisikkalavu.md
http://www.annavinpadaippugal.info/Kurunavalgal/komalathin_kobam_1.htm,Kurunavalgal/komalathin_kobam.md,yes,success,covered,/Users/pugazhendhirajendran/Documents/Codex/2026-07-09/https-www-annavinpadaippugal-info/outputs/annavin_text_extractor/organized_contents/Kurunavalgal/komalathin_kobam.md
http://www.annavinpadaippugal.info/Kurunavalgal/komalathin_kobam_2.htm,Kurunavalgal/komalathin_kobam.md,yes,success,covered,/Users/pugazhendhirajendran/Documents/Codex/2026-07-09/https-www-annavinpadaippugal-info/outputs/annavin_text_extractor/organized_contents/Kurunavalgal/komalathin_kobam.md
http://www.annavinpadaippugal.info/Kurunavalgal/komalathin_kobam_3.htm,Kurunavalgal/komalathin_kobam.md,yes,success,covered,/Users/pugazhendhirajendran/Documents/Codex/2026-07-09/https-www-annavinpadaippugal-info/outputs/annavin_text_extractor/organized_contents/Kurunavalgal/komalathin_kobam.md
http://www.annavinpadaippugal.info/Kurunavalgal/kumarikkottam_1.htm,Kurunavalgal/kumarikkottam.md,yes,success,covered,/Users/pugazhendhirajendran/Documents/Codex/2026-07-09/https-www-annavinpadaippugal-info/outputs/annavin_text_extractor/organized_contents/Kurunavalgal/kumarikkottam.md
http://www.annavinpadaippugal.info/Kurunavalgal/kumarikkottam_2.htm,Kurunavalgal/kumarikkottam.md,yes,success,covered,/Users/pugazhendhirajendran/Documents/Codex/2026-07-09/https-www-annavinpadaippugal-info/outputs/annavin_text_extractor/organized_contents/Kurunavalgal/kumarikkottam.md
http://www.annavinpadaippugal.info/Kurunavalgal/kumarikkottam_3.htm,Kurunavalgal/kumarikkottam.md,yes,success,covered,/Users/pugazhendhirajendran/Documents/Codex/2026-07-09/https-www-annavinpadaippugal-info/outputs/annavin_text_extractor/organized_contents/Kurunavalgal/kumarikkottam.md
http://www.annavinpadaippugal.info/Kurunavalgal/kumarikkottam_4.htm,Kurunavalgal/kumarikkottam.md,yes,success,covered,/Users/pugazhendhirajendran/Documents/Codex/2026-07-09/https-www-annavinpadaippugal-info/outputs/annavin_text_extractor/organized_contents/Kurunavalgal/kumarikkottam.md
http://www.annavinpadaippugal.info/Kurunavalgal/kumasthavin_penn_1.htm,Kurunavalgal/kumasthavin_penn.md,yes,success,covered,/Users/pugazhendhirajendran/Documents/Codex/2026-07-09/https-www-annavinpadaippugal-info/outputs/annavin_text_extractor/organized_contents/Kurunavalgal/kumasthavin_penn.md
http://www.annavinpadaippugal.info/Kurunavalgal/kumasthavin_penn_2.htm,Kurunavalgal/kumasthavin_penn.md,yes,success,covered,/Users/pugazhendhirajendran/Documents/Codex/2026-07-09/https-www-annavinpadaippugal-info/outputs/annavin_text_extractor/organized_contents/Kurunavalgal/kumasthavin_penn.md
http://www.annavinpadaippugal.info/Kurunavalgal/kumasthavin_penn_3.htm,Kurunavalgal/kumasthavin_penn.md,yes,success,covered,/Users/pugazhendhirajendran/Documents/Codex/2026-07-09/https-www-annavinpadaippugal-info/outputs/annavin_text_extractor/organized_contents/Kurunavalgal/kumasthavin_penn.md
http://www.annavinpadaippugal.info/Kurunavalgal/kumasthavin_penn_4.htm,Kurunavalgal/kumasthavin_penn.md,yes,success,covered,/Users/pugazhendhirajendran/Documents/Codex/2026-07-09/https-www-annavinpadaippugal-info/outputs/annavin_text_extractor/organized_contents/Kurunavalgal/kumasthavin_penn.md
http://www.annavinpadaippugal.info/Kurunavalgal/kumasthavin_penn_5.htm,Kurunavalgal/kumasthavin_penn.md,yes,success,covered,/Users/pugazhendhirajendran/Documents/Codex/2026-07-09/https-www-annavinpadaippugal-info/outputs/annavin_text_extractor/organized_contents/Kurunavalgal/kumasthavin_penn.md
http://www.annavinpadaippugal.info/Kurunavalgal/kumasthavin_penn_6.htm,Kurunavalgal/kumasthavin_penn.md,yes,success,covered,/Users/pugazhendhirajendran/Documents/Codex/2026-07-09/https-www-annavinpadaippugal-info/outputs/annavin_text_extractor/organized_contents/Kurunavalgal/kumasthavin_penn.md
http://www.annavinpadaippugal.info/Kurunavalgal/makkal_karamum_mannar_siramum_1.htm,Kurunavalgal/makkal_karamum_mannar_siramum.md,yes,success,covered,/Users/pugazhendhirajendran/Documents/Codex/2026-07-09/https-www-annavinpadaippugal-info/outputs/annavin_text_extractor/organized_contents/Kurunavalgal/makkal_karamum_mannar_siramum.md
http://www.annavinpadaippugal.info/Kurunavalgal/makkal_karamum_mannar_siramum_2.htm,Kurunavalgal/makkal_karamum_mannar_siramum.md,yes,success,covered,/Users/pugazhendhirajendran/Documents/Codex/2026-07-09/https-www-annavinpadaippugal-info/outputs/annavin_text_extractor/organized_contents/Kurunavalgal/makkal_karamum_mannar_siramum.md
http://www.annavinpadaippugal.info/Kurunavalgal/makkal_karamum_mannar_siramum_3.htm,Kurunavalgal/makkal_karamum_mannar_siramum.md,yes,success,covered,/Users/pugazhendhirajendran/Documents/Codex/2026-07-09/https-www-annavinpadaippugal-info/outputs/annavin_text_extractor/organized_contents/Kurunavalgal/makkal_karamum_mannar_siramum.md
http://www.annavinpadaippugal.info/Kurunavalgal/makkal_karamum_mannar_siramum_4.htm,Kurunavalgal/makkal_karamum_mannar_siramum.md,yes,success,covered,/Users/pugazhendhirajendran/Documents/Codex/2026-07-09/https-www-annavinpadaippugal-info/outputs/annavin_text_extractor/organized_contents/Kurunavalgal/makkal_karamum_mannar_siramum.md
http://www.annavinpadaippugal.info/Kurunavalgal/makkal_theerpu_1.htm,Kurunavalgal/makkal_theerpu.md,yes,success,covered,/Users/pugazhendhirajendran/Documents/Codex/2026-07-09/https-www-annavinpadaippugal-info/outputs/annavin_text_extractor/organized_contents/Kurunavalgal/makkal_theerpu.md
http://www.annavinpadaippugal.info/Kurunavalgal/makkal_theerpu_2.htm,Kurunavalgal/makkal_theerpu.md,yes,success,covered,/Users/pugazhendhirajendran/Documents/Codex/2026-07-09/https-www-annavinpadaippugal-info/outputs/annavin_text_extractor/organized_contents/Kurunavalgal/makkal_theerpu.md
http://www.annavinpadaippugal.info/Kurunavalgal/makkal_theerpu_3.htm,Kurunavalgal/makkal_theerpu.md,yes,success,covered,/Users/pugazhendhirajendran/Documents/Codex/2026-07-09/https-www-annavinpadaippugal-info/outputs/annavin_text_extractor/organized_contents/Kurunavalgal/makkal_theerpu.md
http://www.annavinpadaippugal.info/Kurunavalgal/oliyuril_omakundam_1.htm,Kurunavalgal/oliyuril_omakundam.md,yes,success,covered,/Users/pugazhendhirajendran/Documents/Codex/2026-07-09/https-www-annavinpadaippugal-info/outputs/annavin_text_extractor/organized_contents/Kurunavalgal/oliyuril_omakundam.md
http://www.annavinpadaippugal.info/Kurunavalgal/oliyuril_omakundam_2.htm,Kurunavalgal/oliyuril_omakundam.md,yes,success,covered,/Users/pugazhendhirajendran/Documents/Codex/2026-07-09/https-www-annavinpadaippugal-info/outputs/annavin_text_extractor/organized_contents/Kurunavalgal/oliyuril_omakundam.md
http://www.annavinpadaippugal.info/Kurunavalgal/oliyuril_omakundam_3.htm,Kurunavalgal/oliyuril_omakundam.md,yes,success,covered,/Users/pugazhendhirajendran/Documents/Codex/2026-07-09/https-www-annavinpadaippugal-info/outputs/annavin_text_extractor/organized_contents/Kurunavalgal/oliyuril_omakundam.md
http://www.annavinpadaippugal.info/Kurunavalgal/pavalapaspam_1.htm,Kurunavalgal/pavalapaspam.md,yes,success,covered,/Users/pugazhendhirajendran/Documents/Codex/2026-07-09/https-www-annavinpadaippugal-info/outputs/annavin_text_extractor/organized_contents/Kurunavalgal/pavalapaspam.md
http://www.annavinpadaippugal.info/Kurunavalgal/pavalapaspam_2.htm,Kurunavalgal/pavalapaspam.md,yes,success,covered,/Users/pugazhendhirajendran/Documents/Codex/2026-07-09/https-www-annavinpadaippugal-info/outputs/annavin_text_extractor/organized_contents/Kurunavalgal/pavalapaspam.md
http://www.annavinpadaippugal.info/Kurunavalgal/pavalapaspam_3.htm,Kurunavalgal/pavalapaspam.md,yes,success,covered,/Users/pugazhendhirajendran/Documents/Codex/2026-07-09/https-www-annavinpadaippugal-info/outputs/annavin_text_extractor/organized_contents/Kurunavalgal/pavalapaspam.md
http://www.annavinpadaippugal.info/Kurunavalgal/pidisambal_1.htm,Kurunavalgal/pidisambal.md,yes,success,covered,/Users/pugazhendhirajendran/Documents/Codex/2026-07-09/https-www-annavinpadaippugal-info/outputs/annavin_text_extractor/organized_contents/Kurunavalgal/pidisambal.md
http://www.annavinpadaippugal.info/Kurunavalgal/pidisambal_2.htm,Kurunavalgal/pidisambal.md,yes,success,covered,/Users/pugazhendhirajendran/Documents/Codex/2026-07-09/https-www-annavinpadaippugal-info/outputs/annavin_text_extractor/organized_contents/Kurunavalgal/pidisambal.md
http://www.annavinpadaippugal.info/Kurunavalgal/pidisambal_3.htm,Kurunavalgal/pidisambal.md,yes,success,covered,/Users/pugazhendhirajendran/Documents/Codex/2026-07-09/https-www-annavinpadaippugal-info/outputs/annavin_text_extractor/organized_contents/Kurunavalgal/pidisambal.md
http://www.annavinpadaippugal.info/Kurunavalgal/pidisambal_4.htm,Kurunavalgal/pidisambal.md,yes,success,covered,/Users/pugazhendhirajendran/Documents/Codex/2026-07-09/https-www-annavinpadaippugal-info/outputs/annavin_text_extractor/organized_contents/Kurunavalgal/pidisambal.md
http://www.annavinpadaippugal.info/Kurunavalgal/puthiya_polivu_1.htm,Kurunavalgal/puthiya_polivu.md,yes,success,covered,/Users/pugazhendhirajendran/Documents/Codex/2026-07-09/https-www-annavinpadaippugal-info/outputs/annavin_text_extractor/organized_contents/Kurunavalgal/puthiya_polivu.md
http://www.annavinpadaippugal.info/Kurunavalgal/puthiya_polivu_2.htm,Kurunavalgal/puthiya_polivu.md,yes,success,covered,/Users/pugazhendhirajendran/Documents/Codex/2026-07-09/https-www-annavinpadaippugal-info/outputs/annavin_text_extractor/organized_contents/Kurunavalgal/puthiya_polivu.md
http://www.annavinpadaippugal.info/Kurunavalgal/puthiya_polivu_3.htm,Kurunavalgal/puthiya_polivu.md,yes,success,covered,/Users/pugazhendhirajendran/Documents/Codex/2026-07-09/https-www-annavinpadaippugal-info/outputs/annavin_text_extractor/organized_contents/Kurunavalgal/puthiya_polivu.md
http://www.annavinpadaippugal.info/Kurunavalgal/puthiya_polivu_4.htm,Kurunavalgal/puthiya_polivu.md,yes,success,covered,/Users/pugazhendhirajendran/Documents/Codex/2026-07-09/https-www-annavinpadaippugal-info/outputs/annavin_text_extractor/organized_contents/Kurunavalgal/puthiya_polivu.md
http://www.annavinpadaippugal.info/Kurunavalgal/puthiya_polivu_5.htm,Kurunavalgal/puthiya_polivu.md,yes,success,covered,/Users/pugazhendhirajendran/Documents/Codex/2026-07-09/https-www-annavinpadaippugal-info/outputs/annavin_text_extractor/organized_contents/Kurunavalgal/puthiya_polivu.md
http://www.annavinpadaippugal.info/Kurunavalgal/santhirothayam_1.htm,Kurunavalgal/santhirothayam.md,yes,success,covered,/Users/pugazhendhirajendran/Documents/Codex/2026-07-09/https-www-annavinpadaippugal-info/outputs/annavin_text_extractor/organized_contents/Kurunavalgal/santhirothayam.md
http://www.annavinpadaippugal.info/Kurunavalgal/santhirothayam_2.htm,Kurunavalgal/santhirothayam.md,yes,success,covered,/Users/pugazhendhirajendran/Documents/Codex/2026-07-09/https-www-annavinpadaippugal-info/outputs/annavin_text_extractor/organized_contents/Kurunavalgal/santhirothayam.md
http://www.annavinpadaippugal.info/Kurunavalgal/singalacheematti_1.htm,Kurunavalgal/singalacheematti.md,yes,success,covered,/Users/pugazhendhirajendran/Documents/Codex/2026-07-09/https-www-annavinpadaippugal-info/outputs/annavin_text_extractor/organized_contents/Kurunavalgal/singalacheematti.md
